Concurso;Data Sorteio;1ª Dezena;2ª Dezena;3ª Dezena;4ª Dezena;5ª Dezena;6ª Dezena;Arrecadacao_Total;Ganhadores_Sena;Cidade;UF;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
71;13/07/1997;16;27;33;43;45;53;0;0; ; ;0;115;12.451,74;7430;192,35;SIM;16.602.188,45;0;0
72;20/07/1997;1;19;34;43;44;48;0;0; ; ;0;85;19.676,33;7982;209,13;SIM;18.609.174,26;0;0
73;27/07/1997;25;26;28;45;51;57;0;1;;BA;21.026.575,40;95;21.205,27;8222;244,52;NÃO;0;0;0
74;03/08/1997;2;24;34;37;38;50;0;0; ; ;0;40;18.257,68;3321;219,48;SIM;876.368,71;0;0
75;10/08/1997;21;24;35;36;37;49;0;0; ; ;0;70;12.395,02;5032;172,09;SIM;1.917.550,02;0;0
76;17/08/1997;8;17;18;23;33;53;0;0; ; ;0;92;10.247,61;6399;147,04;SIM;3.048.886,14;0;0
77;24/08/1997;21;29;40;49;54;57;0;0; ; ;0;20;49.648,81;2635;376,09;SIM;4.240.457,60;0;0
78;31/08/1997;12;22;25;31;32;46;0;0; ; ;0;103;9.907,36;5984;170,19;SIM;5.465.006,39;0;0
79;07/09/1997;2;13;17;25;31;43;0;1;;RS;6.770.601,75;247;4.404,85;13375;81,18;NÃO;0;0;0
80;14/09/1997;23;28;37;40;48;51;0;0; ; ;0;43;26.443,00;4284;264,89;SIM;10.953.707,53;0;0
81;21/09/1997;10;23;41;47;54;60;0;0; ; ;0;62;19.453,15;4870;247,17;SIM;12.401.021,68;0;0
82;28/09/1997;15;18;29;36;51;53;0;1;;BA;13.877.826,02;77;15.982,73;5889;208,57;NÃO;0;0;0
83;05/10/1997;4;15;16;24;42;57;0;0; ; ;0;76;9.408,43;4756;150,04;SIM;858.048,93;0;0
84;12/10/1997;4;6;10;25;34;40;0;0; ; ;0;102;7.539,68;5546;138,4;SIM;1.780.905,80;0;0
85;19/10/1997;6;15;30;37;45;47;0;0; ; ;0;45;17.279,25;4312;179,96;SIM;2.713.984,86;0;0
86;26/10/1997;6;21;22;34;36;54;0;0; ; ;0;48;16.752,96;3752;213,9;SIM;3.678.955,17;0;0
87;02/11/1997;4;5;11;28;32;40;0;0; ; ;0;64;12.696,60;5195;156,11;SIM;4.654.053,86;0;0
88;09/11/1997;4;18;29;37;43;45;0;0; ; ;0;110;7.965,82;6805;128,51;SIM;5.705.540,99;0;0
89;16/11/1997;13;34;42;44;55;59;0;0; ; ;0;36;24.246,00;3847;226,45;SIM;6.752.968,26;0;0
90;23/11/1997;9;21;26;40;52;54;0;1;;RJ;15.764.300,87;74;18.584,49;4763;288,17;NÃO;0;0;0
91;30/11/1997;2;4;10;35;39;60;0;0; ; ;0;68;9.588,80;3878;167,81;SIM;782.445,93;0;0
92;07/12/1997;1;3;5;23;24;51;0;0; ; ;0;75;9.792,64;5530;132,56;SIM;1.663.783,45;0;0
93;14/12/1997;2;22;28;31;36;53;0;0; ; ;0;61;12.369,31;3795;198,44;SIM;2.569.217,31;0;0
94;21/12/1997;8;18;28;51;52;55;0;0; ; ;0;25;31.457,49;2086;376,26;SIM;3.512.942,16;0;0
95;28/12/1997;6;40;45;46;50;60;0;0; ; ;0;22;30.807,89;2185;309,58;SIM;4.326.270,55;0;0
96;04/01/1998;4;7;26;40;42;58;0;1; ; ;5.218.562,47;62;11.993,17;3984;186,27;NÃO;0;0;0
97;11/01/1998;5;11;14;35;53;56;0;1; ; ;727.932,66;56;10.832,33;3441;175,94;NÃO;0;0;0
98;18/01/1998;13;14;31;33;35;43;0;0; ; ;0;89;6.508,88;4972;116,28;SIM;695.149,05;0;0
99;25/01/1998;11;24;30;33;46;60;0;0; ; ;0;46;14.037,92;3015;213,76;SIM;1.470.041,96;0;0
100;01/02/1998;14;29;30;46;48;51;0;0; ; ;0;56;15.930,48;3600;247,32;SIM;8.585.129,47;0;0
101;08/02/1998;1;18;29;31;37;39;0;0; ; ;0;52;20.589,41;4653;229,64;SIM;9.869.908,65;0;0
102;15/02/1998;19;20;37;42;44;56;0;1; ; ;11.336.626,88;73;16.743,36;6197;196,85;NÃO;0;0;0
103;22/02/1998;1;7;9;49;54;57;0;1; ; ;696.984,24;28;20.743,58;2632;220,24;NÃO;0;0;0
104;01/03/1998;1;4;13;21;38;52;0;0; ; ;0;37;14.006,33;2588;199,85;SIM;621.880,72;0;0
105;08/03/1998;3;13;31;43;46;49;0;0; ; ;0;55;11.824,08;4875;133,14;SIM;1.402.269,88;0;0
106;15/03/1998;5;16;24;35;38;39;9.795.278,00;0; ; ;0;94;7.678,27;5390;133,65;SIM;2.268.378,66;3.000.000,00;0
107;22/03/1998;2;4;16;24;51;52;0;0; ; ;0;35;21.494,23;3554;211,26;SIM;3.171.136,01;0;0
108;29/03/1998;21;24;29;34;59;60;0;0; ; ;0;35;22.511,72;2453;320,57;SIM;4.116.628,49;0;0
109;04/04/1998;1;13;44;48;49;54;0;0; ; ;0;39;21.153,30;3881;212,15;SIM;11.523.677,38;0;0
110;11/04/1998;18;31;43;52;57;58;0;0; ; ;0;35;27.771,48;3212;302,01;SIM;12.690.079,16;0;0
111;18/04/1998;4;22;25;32;33;52;0;0; ; ;0;68;18.082,94;6109;200,88;SIM;14.165.647,19;0;0
112;25/04/1998;12;20;34;37;42;43;0;1; ; ;15.802.579,93;137;9.957,01;8340;163,25;NÃO;0;0;0
113;02/05/1998;7;26;28;34;54;55;0;0; ; ;0;38;14.269,55;2572;210,4;SIM;650.691,40;0;0
114;09/05/1998;6;12;18;37;47;54;0;0; ; ;0;71;9.626,08;4908;138,99;SIM;1.470.833,69;0;0
115;16/05/1998;4;6;14;20;24;38;0;0; ; ;0;78;9.283,10;5091;141,95;SIM;2.339.731,79;0;0
116;23/05/1998;5;13;32;36;42;51;10.384.878,00;0; ; ;0;64;11.956,28;5270;144,91;SIM;3.257.973,62;4.200.000,00;0
117;30/05/1998;20;25;27;33;42;53;0;0; ; ;0;36;22.046,87;3822;207,26;SIM;4.210.398,41;0;0
118;06/06/1998;9;22;25;37;56;57;0;0; ; ;0;53;16.052,88;4342;195,56;SIM;5.231.361,36;0;0
119;13/06/1998;1;21;36;38;47;50;0;0; ; ;0;21;38.921,16;2691;303,13;SIM;13.206.225,91;0;0
120;20/06/1998;3;16;27;40;45;46;0;0; ; ;0;92;13.020,97;7073;169,04;SIM;14.643.740,70;0;0
121;27/06/1998;2;29;41;44;53;55;0;0; ; ;0;45;28.917,00;4554;285,17;SIM;16.205.258,33;0;0
122;04/07/1998;11;17;20;39;43;53;0;0; ; ;0;83;18.210,45;7203;209,43;SIM;18.019.018,95;0;0
123;11/07/1998;13;14;16;26;32;42;0;0; ; ;0;176;12.440,56;13159;166,06;SIM;20.646.465,28;0;0
124;18/07/1998;5;15;34;41;52;57;0;1; ; ;24.536.288,72;188;17.242,12;14019;230,76;NÃO;0;0;0
125;25/07/1998;25;41;47;53;56;59;0;0; ; ;0;46;15.425,68;2784;254,38;SIM;851.497,47;0;0
126;01/08/1998;6;10;11;28;32;40;0;0; ; ;0;83;10.052,56;5510;151,13;SIM;1.852.731,83;0;0
127;08/08/1998;21;29;50;51;54;59;0;0; ; ;0;40;23.638,47;2613;361,14;SIM;2.987.378,17;0;0
128;15/08/1998;3;9;18;21;23;43;0;0; ; ;0;973;1.024,41;11715;84,91;SIM;4.183.483,50;0;0
129;22/08/1998;1;9;10;32;46;54;0;0; ; ;0;67;15.634,41;5320;196,51;SIM;5.440.490,00;0;0
130;29/08/1998;13;29;38;42;49;53;0;0; ; ;0;155;11.796,24;11403;160,03;SIM;18.814.958,31;0;0
131;05/09/1998;4;9;17;27;30;44;0;0; ; ;0;361;6.811,67;21683;113,19;SIM;21.765.774,49;0;0
132;12/09/1998;7;9;35;41;44;50;0;0; ; ;0;143;20.846,64;12179;244,29;SIM;25.343.057,89;0;0
133;19/09/1998;5;6;19;34;39;57;0;1; ; ;30.533.241,12;431;10.035,16;29264;147,51;NÃO;0;0;0
134;26/09/1998;4;25;32;36;52;60;0;0; ; ;0;82;10.253,38;4575;183,42;SIM;1.008.932,39;0;0
135;03/10/1998;21;22;35;40;53;59;0;0; ; ;0;40;24.573,18;3604;272,19;SIM;2.188.444,72;0;0
136;10/10/1998;1;17;25;38;45;59;0;0; ; ;0;126;8.435,36;7403;143,29;SIM;3.463.871,17;0;0
137;17/10/1998;15;16;19;22;26;49;0;0; ; ;0;88;12.675,49;6701;166,13;SIM;4.802.402,93;0;0
138;24/10/1998;5;14;27;37;40;41;0;0; ; ;0;86;14.074,36;6953;173,74;SIM;6.254.876,80;0;0
139;31/10/1998;3;13;26;27;41;42;0;2; ; ;3.902.486,14;179;7.216,46;9401;137,14;NÃO;0;0;0
140;07/11/1998;7;31;41;44;46;55;0;0; ; ;0;45;36.581,33;4945;332,24;SIM;16.453.628,31;0;0
141;14/11/1998;10;13;22;41;42;58;0;0; ; ;0;119;20.106,10;10533;226,7;SIM;19.324.778,90;0;0
142;21/11/1998;8;15;19;20;54;59;0;0; ; ;0;162;18.143,56;13991;209,66;SIM;22.851.887,24;0;0
143;28/11/1998;6;18;20;40;50;53;0;0; ; ;0;144;24.792,99;10994;324,1;SIM;27.136.115,88;0;0
144;05/12/1998;8;32;36;44;45;55;0;1; ; ;33.597.755,21;257;20.952,14;23952;224,38;NÃO;0;0;0
145;12/12/1998;15;16;31;41;43;51;0;0; ; ;0;71;15.061,27;3389;314,91;SIM;1.283.220,59;0;0
146;19/12/1998;25;32;34;42;51;60;0;0; ; ;0;51;23.923,45;4079;298,52;SIM;2.747.335,81;0;0
147;24/12/1998;6;16;23;24;28;38;0;1; ; ;3.805.750,38;75;11.760,17;5418;162,48;NÃO;0;0;0
148;31/12/1998;32;35;41;55;58;59;0;0; ; ;0;15;53.660,04;2322;345,95;SIM;965.880,61;0;0
149;09/01/1999;7;11;20;28;45;48;0;0; ; ;0;106;9.795,13;6290;164,74;SIM;2.211.820,94;0;0
150;16/01/1999;12;44;50;52;54;55;0;0; ; ;0;56;36.378,71;5540;367;SIM;21.414.530,14;0;0
151;23/01/1999;3;16;20;43;52;56;0;1; ; ;24.091.811,02;152;14.678,07;9869;225,62;NÃO;0;0;0
152;30/01/1999;5;12;15;29;51;58;0;0; ; ;0;75;11.562,39;5041;172,03;SIM;1.040.614,80;0;0
153;06/02/1999;2;30;31;42;45;47;0;0; ; ;0;47;22.846,45;4218;254,57;SIM;2.329.154,62;0;0
154;13/02/1999;8;10;24;33;45;48;0;0; ; ;0;144;7.888,29;9252;122,78;SIM;3.692.251,60;0;0
155;20/02/1999;12;30;32;35;43;44;0;1; ; ;4.988.808,21;67;16.126,32;4974;217,22;NÃO;0;0;0
156;27/02/1999;17;23;42;49;52;55;0;0; ; ;0;74;11.018,10;4455;183,02;SIM;978.407,41;0;0
157;06/03/1999;4;13;17;21;41;44;0;1; ; ;2.140.030,92;134;7.224,03;8894;108,84;NÃO;0;0;0
158;13/03/1999;4;14;17;43;51;58;0;0; ; ;0;31;25.856,53;3630;220,81;SIM;961.863,12;0;0
159;20/03/1999;9;11;16;35;50;58;0;1;;PR;2.038.170,67;57;15.735,49;4124;217,49;NÃO;0;0;0
160;27/03/1999;2;13;42;52;54;58;0;0; ; ;0;74;19.431,89;6132;234,5;SIM;11.251.511,63;0;0
161;03/04/1999;6;25;30;37;39;41;0;0; ; ;0;95;14.430,61;6865;199,69;SIM;12.896.601,04;0;0
162;10/04/1999;21;23;33;38;48;51;0;0; ; ;0;92;20.941,30;7244;265,96;SIM;15.208.520,83;0;0
163;17/04/1999;8;27;36;41;53;56;0;2; ; ;8.975.833,36;146;15.657,23;10793;211,8;NÃO;0;0;0
164;24/04/1999;4;10;14;19;28;44;0;0; ; ;0;111;7.595,63;8386;100,54;SIM;1.011.737,90;0;0
165;01/05/1999;10;19;23;35;39;56;0;2; ; ;1.044.444,54;75;11.968,35;5378;166,91;NÃO;0;0;0
166;08/05/1999;12;13;22;57;59;60;0;0; ; ;0;47;17.424,67;3371;242,95;SIM;982.751,54;0;0
167;15/05/1999;1;11;28;33;38;48;0;1; ; ;2.100.980,21;82;11.364,11;4997;186,48;NÃO;0;0;0
168;22/05/1999;2;9;31;35;45;50;0;0; ; ;0;48;15.743,70;3528;214,2;SIM;906.836,93;0;0
169;29/05/1999;1;13;21;37;51;52;0;0; ; ;0;65;13.679,08;4489;198,07;SIM;1.973.804,91;0;0
170;05/06/1999;7;41;46;51;55;58;0;0; ; ;0;50;32.383,95;6257;258,78;SIM;13.643.095,71;0;0
171;12/06/1999;4;27;40;43;46;54;0;1; ; ;16.052.410,83;134;14.983,30;10378;193,46;NÃO;0;0;0
172;19/06/1999;10;14;26;35;36;49;0;0; ; ;0;64;13.460,12;4592;186,89;SIM;1.033.736,70;0;0
173;26/06/1999;17;28;29;42;49;50;0;1; ; ;2.148.316,42;40;23.220,41;3610;256,32;NÃO;0;0;0
174;03/07/1999;11;22;23;36;52;59;0;0; ; ;0;44;17.846,85;3217;243,18;SIM;942.313,58;0;0
175;10/07/1999;1;10;13;20;42;50;0;0; ; ;0;114;8.094,08;7058;130,25;SIM;2.049.582,99;0;0
176;17/07/1999;1;3;4;28;45;53;0;0; ; ;0;62;16.696,39;5405;190,8;SIM;3.291.794,61;0;0
177;24/07/1999;22;35;38;39;41;59;0;0; ; ;0;52;21.716,29;4408;255,21;SIM;4.646.890,81;0;0
178;31/07/1999;5;15;19;26;27;33;0;1; ; ;6.129.539,43;198;6.240,11;13086;94,07;NÃO;0;0;0
179;07/08/1999;5;6;23;26;27;53;0;0; ; ;0;78;10.281,59;5646;141,51;SIM;962.357,04;0;0
180;14/08/1999;6;23;29;39;51;60;0;0; ; ;0;111;15.907,98;6978;252,09;SIM;12.143.009,93;0;0
181;21/08/1999;1;27;33;35;51;55;0;0; ; ;0;182;11.127,07;11797;171,02;SIM;14.573.162,71;0;0
182;28/08/1999;3;5;10;28;46;60;0;0; ; ;0;239;9.954,78;17413;136,13;SIM;17.428.194,22;0;0
183;04/09/1999;2;7;11;16;40;44;0;0; ; ;0;306;9.468,79;20677;139,6;SIM;20.905.131,40;0;0
184;11/09/1999;9;16;21;34;41;60;0;0; ; ;0;217;14.699,97;15462;205,53;SIM;24.733.003,15;0;0
185;18/09/1999;17;22;43;46;55;59;0;0; ; ;0;366;12.275,86;24849;180,13;SIM;30.124.561,09;0;0
186;25/09/1999;14;23;24;25;26;51;0;0; ; ;0;352;17.072,24;31164;192,1;SIM;37.335.874,86;0;0
187;02/10/1999;6;36;41;44;48;58;0;0; ; ;0;397;23.058,35;39365;231,66;SIM;48.320.873,60;0;0
188;10/10/1999;17;27;34;42;43;46;0;1; ; ;64.905.517,65;1200;11.517,11;90235;152,58;NÃO;0;0;0
189;16/10/1999;4;15;31;38;41;53;0;0; ; ;0;61;23.476,18;5485;260,09;SIM;1.718.456,25;0;0
190;24/10/1999;5;10;21;32;40;42;0;0; ; ;0;304;14.923,96;21481;210,41;SIM;44.895.988,05;0;0
191;31/10/1999;1;3;5;23;41;58;0;1; ; ;50.968.412,58;383;13.212,41;30477;165,41;NÃO;0;0;0
192;06/11/1999;1;26;28;41;54;60;0;0; ; ;0;53;23.005,08;4403;275,87;SIM;1.463.122,78;0;0
193;13/11/1999;4;11;12;19;43;49;0;0; ; ;0;190;7.199,87;11415;119,39;SIM;3.104.692,58;0;0
194;20/11/1999;25;28;32;33;42;43;0;0; ; ;0;106;12.862,40;7456;182,18;SIM;4.740.789,92;0;0
